sensor_name,device_id,longName,description,serialNumber,manufacturer,model,citation,companyName,name
buoy,2416,Thermistor Buoy 2014T5,"Thermistor string buoys (also referred to as ice mass balance buoys, IMBs) measure temperature and thermal conductivity through air, snow, sea ice and seawater. They are also often called SAMS IMBs, referring to the developer (Scottish Association for Marine Science). The 4.8 m long thermistor string features 240 embedded thermistors at a spacing of 2 cm (custom length/spacing also available) and 3m tail to aid deployment.. The temperature measurements and the response to cyclic heating of resistors enable the determination of snow depth and sea-ice thickness. The data are transmitted via 
Iridium at varying intervals.",300234011558190,SIMBA5m V1,Thermistor buoy,https://hdl.handle.net/10013/sensor.e630a890-3642-4564-8212-2c49ec644faf,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,2423,Snow Buoy 2014S25,"The Snow Buoy determines the distance between four acoustic sounders, mounted on a frame at a height of 1.5 m, and the underlying surface (usually ice and snow). Conversion of the distance data to actual snow height is achieved by calibration to initial in-situ snow depth measurements below the acoustic sounders during deployment. Hourly measurements result in a time series of snow height evolution at the location of the buoy. Negative values of snow height occur if surface ablation continues into the sea ice. Thus, all snow height measurements describe the surface elevation relative to the original snow-ice interface. Differences between single sensors indicate small-scale variability of the snow pack around the buoy. In addition to snow height, geographic position (GPS), barometric pressure, ait temperature and an internal hull temperature are recorded. 
",300234011699881,MetOcean ICEB-I-TBAS-SH (FID4052),Snow Buoy,https://hdl.handle.net/10013/sensor.38656db9-0237-46e1-b5d3-8d85b3049e38,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,1960,Snow Buoy 2015S20,"The Snow Buoy determines the distance between four acoustic sounders, mounted on a frame at a height of 1.5 m, and the underlying surface (usually ice and snow). Conversion of the distance data to actual snow height is achieved by calibration to initial in-situ snow depth measurements below the acoustic sounders during deployment. Hourly measurements result in a time series of snow height evolution at the location of the buoy. Negative values of snow height occur if surface ablation continues into the sea ice. Thus, all snow height measurements describe the surface elevation relative to the original snow-ice interface. Differences between single sensors indicate small-scale variability of the snow pack around the buoy. In addition to snow height, geographic position (GPS), barometric pressure, ait temperature and an internal hull temperature are recorded. 
",300234062328760,MetOcean ICEB-I-TBAS-SH-A (FID4052),Snow Buoy,https://hdl.handle.net/10013/sensor.582a9152-ce15-4b98-84e5-9b1867dd259b,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,1962,Snow Buoy 2015S29,"The Snow Buoy determines the distance between four acoustic sounders, mounted on a frame at a height of 1.5 m, and the underlying surface (usually ice and snow). Conversion of the distance data to actual snow height is achieved by calibration to initial in-situ snow depth measurements below the acoustic sounders during deployment. Hourly measurements result in a time series of snow height evolution at the location of the buoy. Negative values of snow height occur if surface ablation continues into the sea ice. Thus, all snow height measurements describe the surface elevation relative to the original snow-ice interface. Differences between single sensors indicate small-scale variability of the snow pack around the buoy. In addition to snow height, geographic position (GPS), barometric pressure, ait temperature and an internal hull temperature are recorded. 
",300234062788470,MetOcean ICEB-I-TBAS-SH-A (FID4052),Snow Buoy,https://hdl.handle.net/10013/sensor.18398adf-e2a8-4f69-b622-9647a4357522,, 
buoy,1963,Snow Buoy 2015S30,"The Snow Buoy determines the distance between four acoustic sounders, mounted on a frame at a height of 1.5 m, and the underlying surface (usually ice and snow). Conversion of the distance data to actual snow height is achieved by calibration to initial in-situ snow depth measurements below the acoustic sounders during deployment. Hourly measurements result in a time series of snow height evolution at the location of the buoy. Negative values of snow height occur if surface ablation continues into the sea ice. Thus, all snow height measurements describe the surface elevation relative to the original snow-ice interface. Differences between single sensors indicate small-scale variability of the snow pack around the buoy. In addition to snow height, geographic position (GPS), barometric pressure, ait temperature and an internal hull temperature are recorded. 
",300234062789420,MetOcean ICEB-I-TBAS-SH-A (FID4052),Snow Buoy,https://hdl.handle.net/10013/sensor.bd2092e6-13f5-4486-a877-e92c87593c40,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,1971,Surface Velocity Profiler 2015P14,"Surface Velocity Profilers are designed to observe sea ice drift through GPS position measurements. The term SVP is used in various ways for many similar types of sensors utilized in ocean sciences, including a drogue to make the surface unit drift with the ocean currents and less with the wind. Our main application is to place the SVPs on sea ice to track the movement of a floe, but they may continue drifting in the ocean even after the floe has melted in summer.",300234062887930,MetOcean SVP-I-BXGS-AP (FID4061),Surface Velocity Profiler (iSVP),https://hdl.handle.net/10013/sensor.e09ec21d-d9c4-49c9-803a-128184ebed86,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,1972,Surface Velocity Profiler 2015P7,"Surface Velocity Profilers are designed to observe sea ice drift through GPS position measurements. The term SVP is used in various ways for many similar types of sensors utilized in ocean sciences, including a drogue to make the surface unit drift with the ocean currents and less with the wind. Our main application is to place the SVPs on sea ice to track the movement of a floe, but they may continue drifting in the ocean even after the floe has melted in summer.",300234061776560,MetOcean SVP-I-BXGS-P (FID4031),Surface Velocity Profiler (iSVP),https://hdl.handle.net/10013/sensor.bf8803a6-0ac7-44bb-94fd-8d32fc4472dc,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,2330,Snow Buoy 2013S8,"The Snow Buoy determines the distance between four acoustic sounders, mounted on a frame at a height of 1.5 m, and the underlying surface (usually ice and snow). Conversion of the distance data to actual snow height is achieved by calibration to initial in-situ snow depth measurements below the acoustic sounders during deployment. Hourly measurements result in a time series of snow height evolution at the location of the buoy. Negative values of snow height occur if surface ablation continues into the sea ice. Thus, all snow height measurements describe the surface elevation relative to the original snow-ice interface. Differences between single sensors indicate small-scale variability of the snow pack around the buoy. In addition to snow height, geographic position (GPS), barometric pressure, ait temperature and an internal hull temperature are recorded. 
",300234060540740,MetOcean ICEB-I-TBAS-SH (FID4052),Snow Buoy,https://hdl.handle.net/10013/sensor.c335eee9-2105-404d-99ad-bbbaa0f28c31,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Marcel Nicolaus
buoy,1823,IMBflex 2018M12,"The main component of the modular sea ice buoy is a thermistor string measuring air, snow, ice, and water temperatures. But in addition, it allows a most flexible configuration of additional sensors above, in, and under the ice. The main component is designed to be installed on an ice floe, including batteries and all control electronics. The unit usually has a small photo camera included. An above and under ice mast holds additional sensors. Sensor configurations vary from unit to unit, but all 
platforms report GPS position and atmospheric data via Iridium.",300025010023830,Basic,IMBflex,https://hdl.handle.net/10013/sensor.deb967d9-2ef8-4a71-add7-a986a298717e,, 
buoy,1824,IMBflex 2018M13,"The main component of the modular sea ice buoy is a thermistor string measuring air, snow, ice, and water temperatures. But in addition, it allows a most flexible configuration of additional sensors above, in, and under the ice. The main component is designed to be installed on an ice floe, including batteries and all control electronics. The unit usually has a small photo camera included. An above and under ice mast holds additional sensors. Sensor configurations vary from unit to unit, but all 
platforms report GPS position and atmospheric data via Iridium.",300025010024670,Basic,IMBflex,https://hdl.handle.net/10013/sensor.6d2a30c4-3a8f-4425-be7c-ccd29a4260c1,, 
