doi,name,description,content_url,creator_id,creator_name,related_paper,references
10.5442/ni000001,E2 - Flat-Cone Diffractometer,"A 3-dimensional part of the reciprocal space can be scanned in less then five steps by combining the “off-plane Bragg-scattering” and the flat-cone layer concept while using a new computer-controlled tilting axis of the detector bank. Parasitic scattering from cryostat or furnace walls is reduced by an oscillating ""radial"" collimator. The datasets and all connected information is stored in one independent NeXus file format for each measurement and can be easily archived. The software package TVneXus deals with the raw data sets, the transformed physical spaces and the usual data analysis tools (e.g. MatLab). TVneXus can convert to various data sets e.g. into powder diffractograms, linear detector projections, rotation crystal pictures or the 2D/3D reciprocal space.",https://www.helmholtz-berlin.de/pubbin/igama_output?modus=einzel&sprache=en&gid=1698,https://ror.org/02aj13c28,Helmholtz-Zentrum Berlin Für Materialien Und Energie,['10.17815/jlsrf-4-110'],[]
10.5442/ni000002,E9 - Fine Resolution Powder Diffractometer (FIREPOD),"The Fine Resolution Powder Diffractometer E9 (FIREPOD) is an angle-dispersive powder diffractometer optimized for a flat resolution function with a minimum width of the reflections at the 2Θ-region with the highest density of reflections. The monochromator is placed at a distance of 11 m from the reactor core, which allows for a large take-off angle at the monochromator. An evacuated beam tube and a sapphire single crystal filter reduce air scattering and epithermal neutrons. Neutron flux at the sample is increased by an adjustable vertically focusing Ge-monochromator. The detector consists of eight individual DENEX ³He 2D detectors with 300 × 300 mm active area each and a common radial collimator to reduce background noise. The individual detectors are arranged in a novel setup, at optimized, non-constant distances from the sample. Five of the individual detectors can be placed close to the sample in a high intensity conformation. Data collection with fixed detector position measures parts of the 2Θ-range with increased intensity and without loss in quality. Position-sensitive data integration of the Debye cones results in a strongly reduced asymmetry of the peaks. The 2D-data are directly accessible, allowing the early detection of preferred orientation or spottiness.",https://www.helmholtz-berlin.de/pubbin/igama_output?modus=einzel&sprache=en&gid=1702,https://ror.org/02aj13c28,Helmholtz-Zentrum Berlin Für Materialien Und Energie,['10.17815/jlsrf-3-127'],[]
10.5442/ni000003,UE52_PGM Ion trap,UE52_PGM Ion trap is a soft x-ray beamline at BESSY II that delivers an unfocussed low-divergence beam of variable polarization. Its characteristics are ideally suited for ion trap studies of magnetic properties.,https://www.helmholtz-berlin.de/pubbin/igama_output?modus=einzel&sprache=en&gid=1927,https://ror.org/02aj13c28,Helmholtz-Zentrum Berlin Für Materialien Und Energie,['10.17815/jlsrf-3-142'],['10.5442/ni000004']
10.5442/ni000004,Ion Trap,"The Ion Trap is designed for x-ray magnetic circular dichroism (XMCD) spectroscopy of cold gaseous ions in a magnetic field of up to 5 T. Size-selected cluster ions, molecular ions, and ionic complexes can be studies using a unique cryogenic linear quadrupole ion trap with 5 T superconducting solenoid. The radio-frequency ion trap is operated in the space-charge limit for high signal-to-noise ratio. Magnetron sputtering and gas aggregation is the standard ion source, but other ion sources can be added as well.",https://www.helmholtz-berlin.de/pubbin/igama_output?modus=einzel&sprache=en&gid=1848,https://ror.org/02aj13c28,Helmholtz-Zentrum Berlin Für Materialien Und Energie,['10.17815/jlsrf-3-143'],['10.5442/ni000003']
10.5442/ni000007,HFM/EXED - High Magnetic Field Facility for Neutron Scattering,"High Magnetic Field Facility for Neutron Scattering consists of two main components: the High Field Magnet (HFM) and the Extreme Environment Diffractometer (EXED). The former is a dedicated 26 T hybrid magnet, built by the HZB in collaboration with the National High Magnetic Field Laboratory (Florida, US). The latter is a time-of-flight instrument optimized for neutron scattering in restricted angular geometry of the magnet.",https://www.helmholtz-berlin.de/pubbin/igama_output?modus=einzel&sprache=en&gid=1939,https://ror.org/02aj13c28,Helmholtz-Zentrum Berlin Für Materialien Und Energie,['10.17815/jlsrf-3-111'],[]
10.5442/ni000008,E3 - Residual Stress Analysis and Texture Diffractometer,"The diffractometer is designed for strain and stress analysis for simple geometric samples as well as for industrial applications and heavy components of arbitrary shape. The diffractometer itself consists of two big omega circles (Ω and 2Θ) with a diameter of 800 mm and upon a translation table (xyz-direction) for sample positioning in vertical and horizontal direction. This set up is installed for handling heavy and/or large samples and components such as impellers or turbines with diameters of up to half a meter and loads up to 300 kg. A range of equipment for sample positioning is available, such as a closed Eulerian cradle for samples with weights of up to 5 kg. A second cradle for heavy samples (up to 50 kg) with the ability to tilt the samples up to 90° is used to measure three perpendicular sample orientations. Gauge volumes can be adjusted horizontally and vertically by a computer-controlled variable primary slit in a range from 0-10 mm and 0-20 mm respectively. Rapid data visualization as well as evaluation is performed by the specially designed software SteCa.",https://www.helmholtz-berlin.de/pubbin/igama_output?modus=einzel&sprache=en&gid=1715,https://ror.org/02aj13c28,Helmholtz-Zentrum Berlin Für Materialien Und Energie,['10.17815/jlsrf-2-126'],[]
10.5442/ni000009,E4 - 2-Axis-Diffractometer,"The instrument is primarily suited for magnetic structure determination under various conditions, which includes magnetic fields up to 17 T, temperatures down to 30 mK and pressures up to 10 kbar. The most common application is to reveal spatial arrangement ordered spin structures. Using the polarized neutrons option facilitates the separation of magnetic contributions from nuclear scattering. The measurement of flipping ratios allows registration of very weak magnetic scattering and the mapping of spin density distributions.",https://www.helmholtz-berlin.de/pubbin/igama_output?modus=einzel&sprache=en&gid=1699,https://ror.org/02aj13c28,Helmholtz-Zentrum Berlin Für Materialien Und Energie,['10.17815/jlsrf-3-107'],[]
10.5442/ni000011,V1 - Membrane Diffractometer,"The design of the instrument is dedicated for biological samples or other samples with large unit cells (5-10 nm in cell length). The vertically focusing graphite monochromator provides adjustable wavelengths between 0.4 nm and 0.6 nm, making use of the full cross section of the neutron guide (3 cm wide, 12.5 cm high). A movable Be-filter at liquid nitrogen temperature may be used to suppress second order wavelengths below 0.39 nm. If less stringent collimation conditions allow, high flux at short monochromator - sample distances (approx. 80 cm) are made possible by a compact construction of shieldings. Sample and detector supports are movable on aircushions. The maximum Q value in all configurations with Be-Filter is limited to 22 nm-1.",https://www.helmholtz-berlin.de/pubbin/igama_output?modus=einzel&sprache=en&gid=1704,https://ror.org/02aj13c28,Helmholtz-Zentrum Berlin Für Materialien Und Energie,['10.17815/jlsrf-2-97'],[]
10.5442/ni000013,V4 - Small Angle Scattering Instrument (SANS),"V4 allows for the measurement of density composition and magnetization fluctuations in materials on a length scale from 0.5 nm to 400 nm. At short distance the 2D-detector can be moved vertically by 0.17 m, extending the Q range to even higher values. A large sample chamber is connected to the vacuum system with the detector and collimator tubes. Automatic sample changers (both T and B controlled) are available.",https://www.helmholtz-berlin.de/pubbin/igama_output?modus=einzel&sprache=en&gid=1706,https://ror.org/02aj13c28,Helmholtz-Zentrum Berlin Für Materialien Und Energie,['10.17815/jlsrf-2-101'],[]
10.5442/ni000014,V6 - Reflectometer,"The reflectometer V6 allows measuring the neutron optical reflectivities on flat surfaces at grazing angles. The reflectivity is related to the variation of the refractive index within a depth of about 200 nm, thus structural depth profiles can be studied at solid-air, solid-liquid and free liquid surfaces.",https://www.helmholtz-berlin.de/pubbin/igama_output?modus=einzel&sprache=en&gid=1711,https://ror.org/02aj13c28,Helmholtz-Zentrum Berlin Für Materialien Und Energie,['10.17815/jlsrf-3-154'],[]
