doi,paper_doi,sentences
10.17815/jlsrf-4-110,10.3390/c9010027," thus, wans performed up to large s values provides fundamental advantages in  the study of ngcs when compared to waxs recently, our experiments performed at the  flat-cone diffractometer (e2 at ber ii, hzb, berlin) [44] revealed that, with a few specific  modifications, the approach by ruland and smarsly can indeed be applied to the wans  data of ngcs however, due to wavelength restrictions, the observable range of s was not  significantly larger compared to typical lab waxs experiments  c 2023, 9, 27 6 of 30 thus, wans performed up to large s values provides fundamental advantages in the study of ngcs when compared to waxs recently, our experiments performed at the flat-cone diffractometer (e2 at ber ii, hzb, berlin) [44] revealed that, with a few speciﬁc modiﬁcations, the approach by ruland and smarsly can indeed be applied to the wans data of ngcs however, due to wavelength restrictions, the observable range of s was not signiﬁcantly larger compared to typical lab waxs experiments"
10.17815/jlsrf-4-110,10.3390/c8040078,"these samples were chosen to determine whether octcarb is able to depict ﬁne differences from high-quality wans data in the structural parameters upon treating at temperatures close to graphitization, as well as a function of the precursor the wans data were acquired at the e2 ﬂat-cone diffractometer at the ber ii reactor of helmholtz-zentrum  c 2022, 8, 78 16 of 23 berlin using a debye–scherrer geometry [68] the reﬁnement by octcarb uses the default starting parameters from table s7 in the si file (part a) and the normalization based on absolute wans intensities"
10.17815/jlsrf-4-110,10.1103/physrevb.105.054417,"residual fe3+ fractions between 1 and 3% suggest the com- position sr2feo3.99(1) powder neutron diffraction experiments on sr2feo4 were carried out on the instruments e2 [36] and e6 [37] at the ber ii reactor of the helmholtz-zentrum berlin both instruments use a pyrolytic graphite monochromator selecting the neutron wavelengths λ = 2.380 (e2) and λ = 2.417 å (e6), respec- tively 623, 1441 (1997) [36] helmholtz-zentrum für materialien und energie, e2: the ﬂat- cone diffractometer at ber ii, j large-scale res"
10.17815/jlsrf-4-110,10.1103/PhysRevLett.126.207201,"b 99, 140410 (r) (2019) [39] helmholtz-zentrum berlin für materialien und energie, e2: the flat-cone diffractometer at ber ii, j large-scale res"
10.17815/jlsrf-4-110,10.1103/PHYSREVB.102.241110,[29-33] [29] a a
10.17815/jlsrf-4-110,10.1103/PHYSREVB.99.174111,"b neutron scattering the structural correlations were measured on the e2 diﬀractometer at the ber-ii reactor, helmholtz- zentrum berlin, germany [21] which uses a ﬂat-cone ge- ometry and position sensitive area detectors allow the measurement of the scattering intensity throughout vol- umes in 3d reciprocal space neutrons with a wavelength of 1.2 ˚awere obtained using a [1,1,1] ge monochromator with a 30’ collimation 48, c1 (1987) [21] j.-u hoﬀmann and m"
10.17815/jlsrf-4-110,10.1103/PHYSREVB.98.060408,"4(c) to verify this scenario suggested by the mean-ﬁeld calculation and examine the eﬀects of thermal ﬂuctu- ations, we performed single-spin-ﬂip metropolis monte carlo (mc) simulations at ﬁnite temperatures using the spinw matlab package by implementing our own codes [37] the simulations were carried out on a 10 × 10 × 10 supercell of the pyrochlore unit cell (totally 16000 spins) with periodic boundary conditions reehuis, journal of large-scale research facilities, 4, a129 (2018) [37] s toth and b"
10.17815/jlsrf-3-127,10.3390/cryst13030529,"the susceptibility was obtained in an applied ﬁeld of 0.01 t to study the atomic structure of sryb2−xerxo4 (with x = 1, 2, 5, 50%) samples, the ﬁne resolution powder diffractometer firepod at the ber ii reactor at the helmholtz-zentrum berlin (hzb) was used [28] an incident neutron wavelength of 1.798 å was selected using a ge(511) monochromator"
10.17815/jlsrf-3-127,10.1103/physrevb.105.094408,"the sample was loaded in a vanadium can which was at- tached to the cold end of a cryostat to reach temperatures in the range 2 ⩽ t ⩽ 300 k npd in applied magnetic ﬁelds was performed using e6 [33] and e9 [34] diffractometers at the ber ii reactor at the helmholtz-zentrum berlin pow- der sample amounting 3.5 g was dispersed in deuterated methanol-ethanol mixture, which freezes into an amorphous glass upon cooling, and thereby ﬁxes the powder orientation while applying a magnetic ﬁeld a 598, 534 (2009) [34] a franz and a"
